Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Column1,Opposition,Ground,Start DateAscending,_1
5,19,18,1,0,27.77,4,caught,2,,v South Africa,Cape Town,3/22/2018,Test # 2300
7,29,21,0,1,33.33,4,caught,4,,v South Africa,Cape Town,3/22/2018,Test # 2300
144,336,219,16,2,65.75,4,bowled,1,,v England,Birmingham,8/1/2019,Test # 2353
142,326,207,14,0,68.59,4,caught,3,,v England,Birmingham,8/1/2019,Test # 2353
92,264,161,14,0,57.14,4,lbw,2,,v England,Lord's,8/14/2019,Test # 2355
sub,-,-,-,-,-,-,-,4,,v England,Lord's,8/14/2019,Test # 2355
211,513,319,24,2,66.14,4,caught,1,,v England,Manchester,9/4/2019,Test # 2360
82,155,92,11,0,89.13,4,caught,3,,v England,Manchester,9/4/2019,Test # 2360
80,261,145,9,1,55.17,4,lbw,2,,v England,The Oval,9/12/2019,Test # 2362
23,88,53,4,0,43.39,4,caught,4,,v England,The Oval,9/12/2019,Test # 2362
4,17,10,1,0,40.00,4,bowled,2,,v Pakistan,Brisbane,11/21/2019,Test # 2368
36,121,64,2,0,56.25,4,caught,1,,v Pakistan,Adelaide,11/29/2019,Test # 2372
43,190,164,4,0,26.21,4,caught,1,,v New Zealand,Perth,12/12/2019,Test # 2374
16,40,28,3,0,57.14,4,caught,3,,v New Zealand,Perth,12/12/2019,Test # 2374
85,354,242,8,1,35.12,4,caught,1,,v New Zealand,Melbourne,12/26/2019,Test # 2376
7,17,11,1,0,63.63,4,caught,3,,v New Zealand,Melbourne,12/26/2019,Test # 2376
63,217,182,4,0,34.61,4,caught,1,,v New Zealand,Sydney,1/3/2020,Test # 2378
DNB,-,-,-,-,-,-,-,3,,v New Zealand,Sydney,1/3/2020,Test # 2378
1,45,29,0,0,3.44,4,caught,2,,v India,Adelaide,12/17/2020,Test # 2396
1*,5,1,0,0,100.00,4,not out,4,,v India,Adelaide,12/17/2020,Test # 2396
0,10,8,0,0,0.00,4,caught,1,,v India,Melbourne,12/26/2020,Test # 2398
8,53,30,0,0,26.66,4,bowled,3,,v India,Melbourne,12/26/2020,Test # 2398
131,298,226,16,0,57.96,4,run out,1,,v India,Sydney,1/7/2021,Test # 2402
81,260,167,8,1,48.50,4,lbw,3,,v India,Sydney,1/7/2021,Test # 2402
36,112,77,5,0,46.75,4,caught,1,,v India,Brisbane,1/15/2021,Test # 2404
55,121,74,7,0,74.32,4,caught,3,,v India,Brisbane,1/15/2021,Test # 2404
